42,63,45,45,42,45,44,64,46,45,44,43,46,63,43,63,42,45,43,42,67,46,64,43,44,67,64,67,63,44,67,45
45,43,67,44,66,44,46,46,64,66,46,43,43,66,67,67,44,65,66,64,45,67,63,67,67,43,67,63,65,43,63,46
64,42,46,65,45,63,63,67,44,64,45,44,43,66,63,63,64,64,67,44,66,44,63,43,42,43,64,65,66,65,66,67
43,46,67,46,46,64,45,46,45,43,46,65,64,67,46,43,66,45,64,42,45,63,43,44,65,44,65,67,46,46,43,66
46,42,46,45,65,44,45,64,64,45,67,45,42,64,66,64,42,65,65,44,46,66,43,63,64,45,45,45,45,45,63,65
63,65,46,63,43,43,42,45,63,63,65,45,66,42,66,45,44,64,67,44,66,66,44,64,45,67,66,46,44,42,63,45
63,64,45,64,43,67,43,64,45,64,66,44,63,44,43,43,67,46,44,46,46,44,65,46,64,66,63,43,42,67,45,46
64,42,43,67,67,46,43,66,45,43,45,45,65,46,63,46,45,67,44,46,46,64,46,64,44,44,42,64,63,45,42,44
64,42,65,63,46,66,44,66,66,67,44,43,45,43,63,46,46,43,42,65,43,45,45,65,63,44,66,46,46,46,63,45
63,65,66,45,42,65,42,65,64,45,45,42,65,67,66,67,63,46,65,66,43,67,67,45,44,44,65,46,44,67,66,46
44,46,42,43,63,67,65,44,64,45,63,42,67,45,63,42,67,63,64,45,63,46,43,45,42,67,63,65,42,43,45,65
46,65,67,65,45,42,43,46,67,45,65,43,44,46,44,64,42,42,42,42,64,66,63,45,46,44,43,44,42,66,46,43
44,64,66,66,42,44,45,43,63,66,66,46,65,67,42,44,66,65,43,43,44,43,46,65,42,44,63,46,66,67,64,67
63,42,67,45,43,44,45,67,65,46,63,66,65,45,44,46,45,-1,-1,46,65,43,43,63,65,66,66,44,45,66,67,43
66,45,45,63,65,42,44,67,43,44,65,65,63,42,67,46,63,-1,-1,64,65,64,46,66,45,66,66,66,43,64,45,66
46,64,65,66,43,42,65,63,63,65,64,63,64,65,63,63,65,64,43,67,44,66,43,45,63,67,64,45,43,45,45,67
63,67,45,64,43,66,45,42,43,66,44,63,67,42,63,44,66,45,42,43,64,42,46,66,67,66,46,63,42,45,65,67
65,63,64,66,63,67,64,43,43,64,64,64,64,43,64,67,45,67,43,63,46,42,66,42,42,65,42,64,46,67,64,42
43,43,64,43,43,65,46,65,43,45,63,42,45,64,45,45,42,42,43,46,45,43,43,44,65,45,64,65,64,65,63,46
46,67,65,42,65,44,64,66,64,45,65,65,42,46,43,43,46,64,63,63,46,64,66,43,63,65,42,63,65,44,44,45
63,65,67,67,42,46,65,66,66,43,42,42,63,65,46,67,46,63,42,66,42,65,67,67,42,66,42,65,42,43,64,42
67,45,66,46,64,45,46,66,46,67,64,64,64,65,66,44,67,42,45,43,63,64,45,44,67,45,45,66,45,64,66,65
65,46,46,66,43,67,42,64,64,44,46,42,44,45,64,64,63,64,65,63,44,46,67,42,42,46,44,44,43,63,65,67
46,66,43,42,66,43,67,67,65,46,66,43,63,42,42,42,65,66,44,46,42,46,43,45,63,67,46,43,67,67,45,42
46,45,43,44,46,63,64,46,64,63,64,67,64,43,43,66,44,45,66,63,42,63,64,65,44,66,44,45,67,43,42,43
64,42,64,64,42,67,42,67,43,44,67,67,65,43,46,45,45,44,64,42,43,67,66,67,44,46,63,44,63,66,42,45
66,44,66,43,45,64,64,45,65,43,65,63,66,42,63,66,67,45,42,46,45,64,45,43,42,46,65,46,64,64,65,44
67,65,63,46,63,63,44,46,43,64,66,42,67,66,65,42,64,43,42,45,46,66,67,67,67,46,43,44,45,64,42,45
67,65,63,46,45,46,42,67,43,67,65,65,42,67,42,63,65,46,65,65,46,66,45,45,66,65,45,64,42,65,66,64
65,45,63,67,42,63,46,67,64,44,67,46,67,65,43,64,66,46,64,67,44,46,66,46,44,42,44,45,64,45,44,46
46,46,44,66,64,65,42,66,42,44,65,43,67,42,67,65,64,43,45,44,42,43,66,44,45,64,42,64,45,65,44,46
63,44,63,43,65,63,63,44,67,67,64,63,66,42,46,67,44,43,42,42,64,66,67,65,44,45,63,64,65,43,44,44
